District,ac_no,ac_name,Winner Candidate 2014,Winner Party 2014,Winner Votes,Runner Up Candidate 2014,Runner Up Party 2014,Runner Up Votes 2014,Margin 2014,Turnout(%) 2019,Winner Candidate 2019,Winner Party 2019,Winner Votes 2019,Runner Up Candidate 2019,Runner Up Party 2019,Runner Up Votes 2019,Margin 2019,Status
Srikakulam,120,Ichchapuram,Ashok Bendalam,Telugu Desam Party,86815,Nartu Rama Rao,YSR Congress Party,61537,25278,70.15,Ashok Bendalam,Telugu Desam Party,79992,Piriya Sairaj,YSR Congress Party,72847,7145,Telugu Desam Party Hold
Srikakulam,121,Palasa,Gouthu Syam Sunder Sivaji,Telugu Desam Party,69658,Babu Rao Vajja,YSR Congress Party,52133,17525,72.92,Appalaraju Seediri,YSR Congress Party,76603,Gouthu Sireesha,Telugu Desam Party,60356,16247,Telugu Desam Party -->  YSR Congress Party
Srikakulam,122,Tekkali,Atchannaidu Kinjarapu,Telugu Desam Party,81167,Duvvada Srinivas,YSR Congress Party,72780,8387,78.79,Atchannaidu Kinjarapu,Telugu Desam Party,87658,Perada Tilak,YSR Congress Party,79113,8545,Telugu Desam Party Hold
Srikakulam,123,Pathapatnam,Kalamata Venkata Ramana Murthy,YSR Congress Party,69320,Vijaya Ramaraju Setrucharla,Telugu Desam Party,65455,3865,70.35,Reddy Shanthi,YSR Congress Party,76941,Kalamata Venkata Ramana Murthy,Telugu Desam Party,61390,15551,YSR Congress Party Hold
Srikakulam,124,Srikakulam,Gunda Lakshmi Devi,Telugu Desam Party,88814,Dharmana Prasada Rao,YSR Congress Party,64683,24131,70.01,Dharmana Prasada Rao,YSR Congress Party,84084,Gunda Lakshmi Devi,Telugu Desam Party,78307,5777,Telugu Desam Party -->  YSR Congress Party
Srikakulam,125,Amadalavalasa,Koona Ravikumar,Telugu Desam Party,65233,Thammineni Seetharam,YSR Congress Party,59784,5449,78.51,Thammineni Seetharam,YSR Congress Party,77897,Koona Ravikumar,Telugu Desam Party,63906,13991,Telugu Desam Party -->  YSR Congress Party
Srikakulam,126,Etcherla,Kalavenkata Rao Kimidi,Telugu Desam Party,85769,Gorle Kiran Kumar,YSR Congress Party,81028,4741,84.3,Gorle Kiran Kumar,YSR Congress Party,99672,Kalavenkata Rao Kimidi,Telugu Desam Party,80961,18711,Telugu Desam Party -->  YSR Congress Party
Srikakulam,127,Narasannapeta,Baggu Ramana Murthy,Telugu Desam Party,76559,Dharmana Krishna Das,YSR Congress Party,71759,4800,80,Dharmana Krishna Das,YSR Congress Party,85622,Baggu Ramana Murthy,Telugu Desam Party,66597,19025,Telugu Desam Party -->  YSR Congress Party
Srikakulam,128,Rajam (SC),Kambala Jogulu,YSR Congress Party,69192,K. Pratibha Bharati,Telugu Desam Party,68680,512,73.85,Kambala Jogulu,YSR Congress Party,83561,Kondru Murali Mohan,Telugu Desam Party,66713,16848,YSR Congress Party Hold
Srikakulam,129,Palakonda (ST),Viswasarayi Kalavathi,YSR Congress Party,55337,Nimmaka Jayakrishna,Telugu Desam Party,53717,1620,73.68,Viswasarayi Kalavathi,YSR Congress Party,72054,Nimmaka Jayakrishna,Telugu Desam Party,54074,17980,YSR Congress Party Hold
Vizianagaram,130,Kurupam (ST),Pushpasreevani Pamula,YSR Congress Party,55435,Janardhana That Raj Veera Vara Thodaramala,Telugu Desam Party,36352,19083,77.38,Pushpasreevani Pamula,YSR Congress Party,74527,Veera Vara Thodramal Nara Simha Priya Thatra,Telugu Desam Party,47925,26602,YSR Congress Party Hold
Vizianagaram,131,Parvathipuram (SC),Bobbili Chiranjeevulu,Telugu Desam Party,62458,Jammana Prasanna Kumar,YSR Congress Party,56329,6129,76.78,Alajangi Joga Rao,YSR Congress Party,75304,Bobbili Chiranjeevulu,Telugu Desam Party,51105,24199,Telugu Desam Party -->  YSR Congress Party
Vizianagaram,132,Salur (ST),Peedika Rajanna Dora,YSR Congress Party,63755,R.P. Bhanj Deo,Telugu Desam Party,58758,4997,79,Peedika Rajanna Dora,YSR Congress Party,78430,R.P. Bhanj Deo,Telugu Desam Party,58401,20029,YSR Congress Party Hold
Vizianagaram,133,Bobbili,Ravu Venkata Sujay Krishna Rangarao,YSR Congress Party,83587,Thentu Lakshmu Naidu,Telugu Desam Party,76629,6958,79.27,Sambangi Venkatachina Appala Naidu,YSR Congress Party,84955,Ravu Venkata Sujay Krishna Rangarao,Telugu Desam Party,76603,8352,YSR Congress Party Hold
Vizianagaram,134,Cheepurupalle,Kimidi Mrunalini,Telugu Desam Party,63787,Botsa Satyanarayana,Indian National Congress,42945,20842,83.07,Botsa Satyanarayana,YSR Congress Party,89262,Kimidi Nagarjuna,Telugu Desam Party,62764,26498,Telugu Desam Party -->  YSR Congress Party
Vizianagaram,135,Gajapathinagaram,Appala Naidu Kondapalli,Telugu Desam Party,65117,Kadubandi Srinivasa Rao,YSR Congress Party,45694,19423,86.73,Appalanarasayya Botcha,YSR Congress Party,93270,Appala Naidu Kondapalli,Telugu Desam Party,66259,27011,Telugu Desam Party -->  YSR Congress Party
Vizianagaram,136,Nellimarla,Narayanaswamy Naidu Pathivada,Telugu Desam Party,71267,P V V Suryanarayana Raju,YSR Congress Party,64294,6973,87.79,Appalanaidu Baddukonda,YSR Congress Party,94258,Narayanaswamy Naidu Pathivada,Telugu Desam Party,66207,28051,Telugu Desam Party -->  YSR Congress Party
Vizianagaram,137,Vizianagaram,Meesala Geetha,Telugu Desam Party,77320,Veera Bhadra Swamy Kolagatla,YSR Congress Party,61916,15404,70.88,Veera Bhadra Swamy Kolagatla,YSR Congress Party,78849,Aditi Vijayalakshmi Gajapathi Raju Pusapati,Telugu Desam Party,72432,6417,Telugu Desam Party -->  YSR Congress Party
Vizianagaram,138,Srungavarapukota,Kolla Lalitha Kumari,Telugu Desam Party,82177,Rongali Jagannadham,YSR Congress Party,53605,28572,85.92,Kadubandi Srinivasa Rao,YSR Congress Party,91451,Kolla Lalitha Kumari,Telugu Desam Party,80086,11365,Telugu Desam Party -->  YSR Congress Party
Visakhapatnam,139,Bhimili,Ganta Srinivasa Rao,Telugu Desam Party,118020,Karri Sita Ramu,YSR Congress Party,80794,37226,73.9,Muttamsetti Srinivasa Rao,YSR Congress Party,101629,Sabbam Hari,Telugu Desam Party,91917,9712,Telugu Desam Party -->  YSR Congress Party
Visakhapatnam,140,Visakhapatnam East,Ramakrishna Babu Velagapudi,Telugu Desam Party,100624,Vamsi Krishna Srinivas,YSR Congress Party,52741,47883,64.73,Ramakrishna Babu Velagapudi,Telugu Desam Party,87073,Akkaramani Vijaya Nirmala,YSR Congress Party,60599,26474,Telugu Desam Party Hold
